archivo,linea,cwe,tipo,severidad,mensaje
minicom-2.10/src/dial.c,976,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),cpp.lang.security.system-command.dont-call-system.dont-call-system,INFO,Don't call `system`. It's a high-level wrapper that allows for stacking multiple commands. Always prefer a more restrictive API such as calling `execve` from the `exec` family.
minicom-2.10/src/dial.c,976,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),cpp.lang.security.system-command.dont-call-system.dont-call-system,INFO,Don't call `system`. It's a high-level wrapper that allows for stacking multiple commands. Always prefer a more restrictive API such as calling `execve` from the `exec` family.
minicom-2.10/src/dial.c,1456,CWE-676: Use of Potentially Dangerous Function,c.lang.security.insecure-use-strtok-fn.insecure-use-strtok-fn,WARNING,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead."
minicom-2.10/src/dial.c,1473,CWE-676: Use of Potentially Dangerous Function,c.lang.security.insecure-use-strtok-fn.insecure-use-strtok-fn,WARNING,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead."
minicom-2.10/src/dial.c,1684,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1686,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1687,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1700,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1743,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1744,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1758,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1761,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1761,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1762,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1762,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1762,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1762,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1762,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1769,CWE-415: Double Free,cpp.lang.security.memory.deallocation.double-free.double-free,ERROR,`(char *)d` has previously been freed which will trigger a double-free vulnerability. This may lead to memory corruption.
minicom-2.10/src/dial.c,1775,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1777,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/dial.c,1778,CWE-415: Double Free,cpp.lang.security.memory.deallocation.double-free.double-free,ERROR,`(char *)d` has previously been freed which will trigger a double-free vulnerability. This may lead to memory corruption.
minicom-2.10/src/dial.c,1800,CWE-416: Use After Free,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,ERROR,This expression points to memory that has been freed. This can lead to a segmentation fault or memory corruption.
minicom-2.10/src/updown.c,354,CWE-415: Double Free,cpp.lang.security.memory.deallocation.double-free.double-free,ERROR,`cmdline` has previously been freed which will trigger a double-free vulnerability. This may lead to memory corruption.
