archivo,linea,cwe,regla,tipo,severidad,mensaje
config.c,51,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'parfile' is leaking"
config.c,57,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'pparfile' is leaking"
config.c,69,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value '  %call17 = tail call ptr @pfix_home(ptr nonnull getelementptr inbounds nuw (i8, ptr @mpars, i64 20128)) #57, !dbg !3358' is leaking"
config.c,845,"CWE-119, CWE-121, CWE-122, CWE-131, CWE-193, CWE-788",c:S3519,BUG,BLOCKER,"Access (via dereference) of 'mpars[37].value' at index 272, while it holds only 256 'char' elements"
config.c,1207,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1257,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value '  %call103 = call ptr @pfix_home(ptr nonnull getelementptr inbounds nuw (i8, ptr @mpars, i64 20128)) #56, !dbg !3445' is leaking"
config.c,1383,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1396,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1422,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'fname' is leaking"
config.c,1429,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'fname' is leaking"
config.c,1429,"CWE-266, CWE-732",c:S2612,VULNERABILITY,MAJOR,"Granting permissions to 'others' can lead to unauthorized access to files."
config.c,1448,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value '  %call3 = tail call ptr @pfix_home(ptr nonnull getelementptr inbounds nuw (i8, ptr @mpars, i64 20128)) #56, !dbg !3345' is leaking"
config.c,1718,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1926,"CWE-561",c:S1763,BUG,MAJOR,"'break' will never be executed"
config.c,1964,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1964,"CWE-117, CWE-20",c:S5145,VULNERABILITY,MINOR,"tainted value 'vt_inmap' is leaking"
config.c,1976,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
config.c,1976,"CWE-117, CWE-20",c:S5145,VULNERABILITY,MINOR,"tainted value 'vt_outmap' is leaking"
config.c,2016,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'buf' is leaking"
config.c,2035,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'buf' is leaking"
config.c,2039,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'vt_inmap' is leaking"
config.c,2040,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'vt_outmap' is leaking"
dial.c,220,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'c' is leaking"
dial.c,756,"CWE-119, CWE-121, CWE-122, CWE-131, CWE-193, CWE-788",c:S3519,BUG,BLOCKER,"Memory copy function overflows the destination buffer"
dial.c,807,"CWE-476",c:S2637,BUG,MINOR,"Null pointer passed to 1st parameter expecting 'nonnull'"
dial.c,811,"CWE-117, CWE-20",c:S5145,VULNERABILITY,MINOR,"tainted value 'homedir' is leaking"
dial.c,814,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'dfile' is leaking"
dial.c,959,"CWE-457",c:S836,BUG,MAJOR,"The left operand of '==' is a garbage value"
dial.c,976,"CWE-20, CWE-78",c:S2076,VULNERABILITY,BLOCKER,"tainted value 'copycmd' is leaking"
dial.c,1008,"CWE-117, CWE-20",c:S5145,VULNERABILITY,MINOR,"tainted value 'homedir' is leaking"
dial.c,1010,"CWE-250, CWE-266",c:S5849,VULNERABILITY,MAJOR,"Setting capabilities is security-sensitive."
dial.c,1011,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'dfile' is leaking"
dial.c,1040,"CWE-20, CWE-22",c:S2083,VULNERABILITY,BLOCKER,"tainted value 'dent_n' is leaking"
dial.c,1065,"CWE-476",c:S2259,BUG,MAJOR,"Access to field 'next' results in a dereference of a null pointer (loaded from variable 'd')"
dial.c,1421,"CWE-120, CWE-676",c:S6069,VULNERABILITY,CRITICAL,"Make sure use of 'sprintf' function is safe here or replace it with a call to 'snprintf'."
